Light;Alga;Labeling time (sec);ADPG (Levels (nmol/gDW));Glutamic;2PG;FBP;SBP;DHAP;Malic;Aspartic;G6P;F6P;G1P;2OG;R5P;PP;Succinic;RuBP;UDPG;S7P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Ohadii;40;14.50401072;561.7475052;7.148615321;75.81773027;64.46806409;66.12126033;263.2684936;500.2824906;213.7731912;129.9494262;75.4714293;33.25510478;12.18667808;16.1689882;54.52215233;390.6669817;140.1109937;153.4298529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Ohadii;40;13.61815648;594.236581;1.76972702;59.91195531;63.28540344;57.52921721;267.8165898;510.4441285;185.6085647;101.7805662;78.53351942;26.76980364;15.28257873;16.05713;44.36665111;255.9141084;135.6257344;134.2188884;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Ohadii;40;14.0610836;577.9920431;1.601875453;67.86484279;63.87673376;61.82523877;265.5425417;505.3633096;199.6908779;115.8649962;54.27771472;42.18399105;13.7346284;16.1130591;49.44440172;323.290545;122.4377961;138.4928947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000 uE;Ohadii;0;18.66096071;969.6551875;12.75563046;113.1841241;91.94154458;63.30460364;1263.084313;833.5510669;252.5565189;149.722152;95.97519928;23.06426021;32.89300897;62.28185353;16.12979719;1766.910115;81.14423656;121.7543504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000 uE;Ohadii;0;8.417904136;725.4840478;12.03244609;97.29101267;74.92200415;51.13747999;1167.535117;499.724606;167.2607321;96.10356349;60.47455439;21.59289923;25.86863625;42.07145909;15.57613521;1571.171345;44.38300528;65.21811172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000 uE;Ohadii;0;12.14683286;1022.416913;14.27499686;127.8231727;80.76494199;53.17043532;1052.676578;580.171445;117.1899304;64.2202724;70.36181126;66.18831833;21.17092727;33.04269556;16.7191883;1201.904511;66.22984755;105.1982107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000 uE;Ohadii;5;12.59695509;810.6319252;9.355439989;98.8913699;68.43703672;71.86139028;917.7935502;641.6998063;175.6693756;103.6273375;55.86641221;14.04248311;29.12351204;55.42657073;13.4474623;1867.808409;56.76116793;66.11286672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000 uE;Ohadii;5;11.6507622;815.7582881;13.90912618;97.86576238;38.14268789;37.39642861;773.2878713;382.6655495;130.2413636;44.13293921;50.47632183;54.94127822;13.46551587;26.87514459;9.695817723;1041.975448;54.2201365;67.50336199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000 uE;Ohadii;5;12.62828357;750.2931588;10.74044147;139.8142021;55.98943228;59.64686474;1239.082073;528.578914;202.7256477;88.39707908;57.60841076;45.21345888;29.75503597;58.42971575;15.0958005;1634.868563;58.0953726;61.50064513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000 uE;Ohadii;10;15.84240082;911.302622;12.56922684;113.9309605;48.86653426;65.68145474;1175.482575;688.5620273;192.1076189;99.37913928;56.52799048;35.98985488;22.6524643;47.55581219;19.93619002;2030.409889;52.17140546;63.88112955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000 uE;Ohadii;10;16.72377987;849.5493576;11.28836391;120.4048075;48.80424637;36.24776949;852.9529268;400.4661661;185.1993295;53.78831581;63.40709942;53.8489983;14.99188428;19.34109061;12.77673431;1030.20492;63.93427521;95.76868576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000 uE;Ohadii;10;19.79781628;930.7892259;20.1018648;175.3348776;60.4898777;73.62291047;1561.645513;696.1257244;292.8001264;156.18997;110.7600607;57.4710642;35.14888664;64.23767179;21.27955929;2135.850784;70.95967455;118.7392013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000 uE;Ohadii;20;18.14855107;1019.144785;13.99103318;144.1119504;72.51638269;36.11444172;909.8264857;581.409951;138.8985243;68.45321307;67.93534336;45.75088471;19.17666794;33.28417359;19.32750076;1468.520321;62.61272535;118.3553626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000 uE;Ohadii;20;21.28644872;1172.168913;13.0095129;175.5123026;82.96989423;51.07242952;1062.374632;564.2463587;255.276385;97.14160753;74.7389366;67.36517417;29.89243179;41.97359308;9.768346345;1535.478327;75.61001431;154.5478559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000 uE;Ohadii;20;14.15645145;741.7455677;17.73495487;121.3312033;65.4378234;44.74539486;1227.392694;468.5201265;273.6836427;123.8260856;71.29408302;24.12312435;25.66934042;42.52671932;20.79961501;1318.580398;57.83004619;118.7168859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000 uE;Ohadii;40;20.05832923;918.3022014;14.50588207;145.456546;70.08168358;49.25266554;920.9953641;485.620337;153.8242112;77.83344995;76.81452219;70.69615863;19.18420291;33.36183686;17.13053758;1354.33583;69.21263106;157.1023335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000 uE;Ohadii;40;23.744787;932.7362275;15.73183799;148.8791769;63.87821551;47.75511411;1051.15044;422.5732164;249.6535752;86.80773868;104.5186971;83.90013224;21.39452976;31.91008173;10.34132709;1306.94036;93.22981019;190.2554682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000 uE;Ohadii;40;21.19943371;1028.839992;11.8214209;110.3940334;79.57987697;48.44506249;1112.234641;430.7022503;261.7901605;78.0339345;95.92976;60.52616205;20.46397758;28.50223842;11.15110687;943.5827836;92.78080895;179.8117778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
